"","Sex","Age","Household Type","District","House_Clothes","Cooking","Shopping","Admin","Repairs","Childcare","Elderly_care","Other_care","House_Clothes_Help","Cooking_Help","Shopping_Help","Admin_Help","Repairs_Help","Childcare_Help","Elderly_care_Help","Other_care_Help","Overall_chores"
"29","Female",66,"Couple without children","Distrito de Centro","Woman","Both","Man","Both","Man",NA,"None","Man","No help","No help","No help","No help","No help","No answer","No help","Paid help","Man"
"30","Female",62,"Couple without children","Distrito de Centro","Both","Man","Both","Woman","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"31","Female",73,"Couple without children","Distrito de Centro","Woman","Woman","Both","None","None",NA,"None","None","No help","No help","No help","Unpaid help","Paid help","No answer","No help","No help","None"
"32","Male",65,"Couple without children","Distrito de Centro","None","None","Both","Man","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"33","Male",59,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"34","Male",87,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"35","Female",81,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"36","Female",71,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"37","Male",76,"Couple without children","Distrito de Centro","Man","Woman","Both","Man","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
"38","Male",53,"Couple without children","Distrito de Centro","Woman","Both","Both","Both","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"39","Female",53,"Couple without children","Distrito de Centro","Both","Man","Man","Woman","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"40","Male",63,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"41","Female",82,"Couple without children","Distrito de Centro","Both","Woman","Woman","Woman","Woman",NA,"Woman","None","Paid help","Unpaid help","No help","No help","Unpaid help","No answer","No help","No help","Woman"
"42","Female",80,"Couple without children","Distrito de Centro","Woman","Woman","None","None","None",NA,"None","None","Paid help","No help","Unpaid help","Unpaid help","Unpaid help","No answer","No help","No help","None"
"43","Male",74,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","None",NA,"None","None","No help","No help","No help","Unpaid help","Paid help","No answer","No help","No help","None"
"44","Male",40,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"45","Male",82,"Couple without children","Distrito de Centro","None","None","Man","Man","Man",NA,"None","None","Paid help","Paid help","No help","No help","No help","No answer","No help","No help","None"
"46","Male",62,"Couple without children","Distrito de Centro","Both","Both","Both","Both","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"47","Male",52,"Couple without children","Distrito de Centro","Both","Woman","Man","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"48","Male",67,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"49","Female",80,"Couple without children","Distrito de Centro","None","None","Both","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"50","Male",88,"Couple without children","Distrito de Centro","None","None","None","None","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"51","Male",70,"Couple without children","Distrito de Centro","None","None","Both","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Unpaid help","No answer","No help","No help","None"
"52","Male",69,"Couple without children","Distrito de Centro","Woman","Man","Man","Both","None",NA,"None","None","No help","No help","No help","No help","Unpaid help","No answer","No help","No help","None"
"53","Male",62,"Couple without children","Distrito de Centro","Both","Both","Woman","Man","Man",NA,NA,"None","Paid help","Paid help","No help","No help","No help","No answer","No answer","No help","Man"
"54","Male",69,"Couple without children","Distrito de Centro","None","None","None","None","None",NA,"None","Both","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","Unpaid help","No help","None"
"55","Male",79,"Couple without children","Distrito de Centro","None","Woman","Woman","Both","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"56","Male",80,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"57","Male",81,"Couple without children","Distrito de Centro","Man","None","Man","Man","Man",NA,"Man","None","No help","Unpaid help","No help","No help","No help","No answer","No help","No help","Man"
"58","Male",66,"Couple without children","Distrito de Centro","Both","Woman","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"59","Male",49,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"60","Male",65,"Couple without children","Distrito de Centro","Woman","Woman","Man","Man","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
"61","Male",66,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"62","Female",70,"Couple without children","Distrito de Centro","Woman","Woman","Both","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"63","Female",68,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","None",NA,"None","Woman","No help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"64","Male",91,"Couple without children","Distrito de Centro","None","None","None","None","None",NA,"None","None","No help","No help","Paid help","Unpaid help","Paid help","No answer","Paid help","No help","None"
"65","Male",80,"Couple without children","Distrito de Centro","Both","Both","Both","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","Both"
"66","Male",71,"Couple without children","Distrito de Centro","Both","Both","Both","Man","Both",NA,"None","Man","Unpaid help","Unpaid help","No help","No help","No help","No answer","No help","Unpaid help","Both"
"67","Female",27,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"68","Male",72,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","Woman",NA,"Both","None","No help","No help","Unpaid help","No help","Paid help","No answer","No help","No help","Both"
"69","Female",78,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","None",NA,"None","None","No help","No help","No help","Unpaid help","Unpaid help","No answer","No help","No help","None"
"70","Female",68,"Couple without children","Distrito de Centro","None","None","Both","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"71","Male",68,"Couple without children","Distrito de Centro","Both","Both","Both","None","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"72","Male",68,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,"None","Both","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"73","Female",66,"Couple without children","Distrito de Centro","Both","Woman","Woman","Both","Both",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"74","Female",75,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Man","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"75","Male",67,"Couple without children","Distrito de Centro","Both","Both","Both","None","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"76","Male",50,"Couple without children","Distrito de Centro","Both","Both","Both","Man","None",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"77","Male",62,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"Woman","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"78","Female",33,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Woman","Man",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Woman"
"79","Male",42,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"80","Male",40,"Couple without children","Distrito de Centro","Both","Both","Both","None","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"81","Female",80,"Couple without children","Distrito de Centro","Woman","Woman","Man","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"82","Female",61,"Couple without children","Distrito de Centro","Both","Both","Woman","Both","Woman",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"83","Female",69,"Couple without children","Distrito de Centro","None","None","Woman","None","None",NA,"None","Both","Paid help","No help","No help","No help","No help","No answer","No help","No help","None"
"84","Female",64,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"85","Female",35,"Couple without children","Distrito de Centro","None","Both","Both","Man","None",NA,NA,"None","Paid help","No help","No help","No help","Unpaid help","No answer","No answer","No help","Both"
"86","Female",69,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","Man",NA,"None","None","Paid help","No help","No help","Paid help","Paid help","No answer","No help","No help","Woman"
"87","Female",63,"Couple without children","Distrito de Centro","Both","Both","Both","Man","None",NA,NA,"Woman","Paid help","No help","No help","No help","Paid help","No answer","No answer","Paid help","Both"
"88","Female",67,"Couple without children","Distrito de Centro","Both","Man","Both","Both","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"89","Female",62,"Couple without children","Distrito de Centro","Both","Both","Both","None","None",NA,"None","None","Paid help","Paid help","No help","Unpaid help","Unpaid help","No answer","No help","No help","None"
"90","Male",82,"Couple without children","Distrito de Centro","Woman","Woman","Both","Man","None",NA,"Woman","None","Paid help","Paid help","Unpaid help","Unpaid help","Paid help","No answer","No help","No help","Woman"
"91","Female",53,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Woman","Both",NA,"None","Woman","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"92","Female",69,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","None",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","None"
"93","Male",71,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"94","Female",71,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","Both",NA,"None","None","Paid help","Paid help","No help","No help","No help","No answer","No help","No help","Woman"
"95","Male",89,"Couple without children","Distrito de Centro","Woman","Both","Both","None","None",NA,"None","None","No help","No help","No help","Unpaid help","No help","No answer","No help","No help","None"
"96","Female",55,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"97","Female",57,"Couple without children","Distrito de Centro","Both","Man","Man","Both","Man",NA,"None","Woman","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"98","Female",76,"Couple without children","Distrito de Centro","Woman","Woman","Both","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"99","Female",66,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,"Both","Both","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","No help","Unpaid help","Both"
"100","Male",47,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"101","Female",62,"Couple without children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"102","Female",65,"Couple without children","Distrito de Centro","Both","Woman","Woman","Both","Man",NA,"Both","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"103","Female",56,"Couple without children","Distrito de Centro","Both","Woman","Man","Both","None",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","None"
"104","Female",32,"Couple without children","Distrito de Centro","Both","Woman","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"105","Male",44,"Couple without children","Distrito de Centro","Both","Both","Both","Woman","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"106","Female",52,"Couple with children","Distrito de Centro","Both","Man","Both","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"107","Male",70,"Couple with children","Distrito de Centro","Both","Both","Woman","Man","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"108","Female",69,"Couple with children","Distrito de Centro","Both","Woman","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"109","Male",75,"Couple with children","Distrito de Centro","None","None","Woman","None","None",NA,"None","None","Paid help","Paid help","No help","Unpaid help","Unpaid help","No answer","No help","No help","None"
"110","Female",57,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Man",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"111","Male",53,"Couple with children","Distrito de Centro","Man","Both","Both","Both","Man","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"112","Female",37,"Couple with children","Distrito de Centro","Woman","Woman","Woman","Woman","Woman","Woman",NA,"None","No help","No help","No help","No help","No help","Unpaid help","No answer","No help","Woman"
"113","Female",60,"Couple with children","Distrito de Centro","Both","Both","Both","Both","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"114","Male",48,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both",NA,"None","Paid help","No help","No help","No help","No help","No help","No answer","No help","Both"
"115","Male",56,"Couple with children","Distrito de Centro","Both","Woman","Both","Both","Both","Both",NA,"Both","Paid help","No help","No help","No help","No help","No help","No answer","Unpaid help","Both"
"116","Female",54,"Couple with children","Distrito de Centro","Woman","Woman","Both","Woman","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"117","Male",63,"Couple with children","Distrito de Centro","Woman","Woman","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"118","Male",78,"Couple with children","Distrito de Centro","Woman","Both","Woman","Both","Both",NA,"Both","None","Unpaid help","No help","No help","No help","No help","No answer","Unpaid help","No help","Both"
"119","Male",77,"Couple with children","Distrito de Centro","Both","Woman","Woman","Man","Man",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"120","Male",55,"Couple with children","Distrito de Centro","Both","Woman","Man","Man","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"121","Male",86,"Couple with children","Distrito de Centro","Man","Man","Man","Man","Man",NA,"Man","Man","Paid help","Paid help","Paid help","Paid help","Paid help","No answer","No help","No help","Man"
"122","Male",56,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Man",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"123","Male",66,"Couple with children","Distrito de Centro","Both","Both","Both","Woman","Man",NA,"Man","None","Paid help","Paid help","No help","No help","No help","No answer","No help","No help","Both"
"124","Female",66,"Couple with children","Distrito de Centro","Woman","Both","Man","Man","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"125","Male",45,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both",NA,"None","Paid help","Paid help","No help","No help","No help","No help","No answer","No help","Both"
"126","Female",47,"Couple with children","Distrito de Centro","Woman","Man","Both","Both","Both",NA,NA,"Woman","No help","No help","No help","No help","No help","No answer","No answer","Paid help","Both"
"127","Male",52,"Couple with children","Distrito de Centro","Both","Both","Both","Man","Man",NA,NA,"Woman","No help","No help","No help","No help","No help","No answer","No answer","Unpaid help","Both"
"128","Female",55,"Couple with children","Distrito de Centro","Woman","Woman","Woman","Woman","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Woman"
"129","Male",39,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both","Both","Both","No help","No help","No help","No help","No help","No help","No help","No help","Both"
"130","Female",45,"Couple with children","Distrito de Centro","Both","Both","Both","Woman","Man","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"131","Female",58,"Couple with children","Distrito de Centro","Both","Man","Woman","Woman","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"132","Male",62,"Couple with children","Distrito de Centro","None","None","Both","Both","Both",NA,NA,"None","Paid help","Paid help","No help","Paid help","Paid help","No answer","No answer","No help","Both"
"133","Male",69,"Couple with children","Distrito de Centro","Both","Both","Both","Man","Woman","Both","None","None","No help","No help","No help","No help","No help","No help","No help","No help","Both"
"134","Female",59,"Couple with children","Distrito de Centro","Both","Both","Both","Woman","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"135","Male",75,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Woman",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"136","Male",63,"Couple with children","Distrito de Centro","Woman","Both","Both","Man","Man","Both",NA,"None","No help","No help","No help","No help","Paid help","No help","No answer","No help","Both"
"137","Male",61,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Man",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"138","Female",68,"Couple with children","Distrito de Centro","Woman","Woman","Both","Both","Woman",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"139","Female",45,"Couple with children","Distrito de Centro","Woman","Man","Man","Woman","Man","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Man"
"140","Female",53,"Couple with children","Distrito de Centro","Woman","Woman","Woman","None","Woman","Woman",NA,"None","No help","No help","No help","No help","Paid help","No help","No answer","No help","Woman"
"141","Male",55,"Couple with children","Distrito de Centro","Both","Both","Both","Man","Man",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"142","Male",67,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"143","Male",46,"Couple with children","Distrito de Centro","Both","Both","Both","Both","None","Both",NA,"None","No help","No help","No help","No help","Paid help","No help","No answer","No help","Both"
"144","Female",55,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"145","Female",58,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both","None","Woman","No help","No help","No help","No help","No help","No help","No help","No help","Both"
"146","Male",50,"Couple with children","Distrito de Centro","Woman","Woman","Both","Both","Man","Woman",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Woman"
"147","Male",36,"Couple with children","Distrito de Centro","Both","Woman","Both","Man","Man","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"148","Female",43,"Couple with children","Distrito de Centro","None","Both","Both","Man","Man","Both",NA,"None","Paid help","Paid help","No help","No help","No help","Unpaid help","No answer","No help","Both"
"149","Female",45,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Man","Woman",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"150","Male",44,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Man",NA,"None","Paid help","No help","No help","No help","No help","No help","No answer","No help","Both"
"151","Female",30,"Couple with children","Distrito de Centro","Both","Both","Both","Both","None","Both",NA,"None","No help","No help","No help","No help","Paid help","No help","No answer","No help","Both"
"152","Male",55,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","Paid help","Paid help","No help","No help","No help","No answer","No answer","No help","Both"
"153","Female",51,"Couple with children","Distrito de Centro","Both","Both","Both","Woman","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"154","Female",55,"Couple with children","Distrito de Centro","Both","Woman","Woman","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"155","Female",50,"Couple with children","Distrito de Centro","Woman","Woman","Both","Man","Man",NA,NA,"None","Paid help","No help","No help","No help","Paid help","No answer","No answer","No help","Man"
"156","Male",57,"Couple with children","Distrito de Centro","Both","Man","Both","Woman","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"157","Female",67,"Couple with children","Distrito de Centro","Both","Man","Man","Man","Both",NA,"None","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"158","Female",43,"Couple with children","Distrito de Centro","Both","Both","Man","Woman","Woman","Both",NA,"Both","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"159","Female",50,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both",NA,"None","Paid help","No help","No help","No help","No help","No help","No answer","No help","Both"
"160","Male",49,"Couple with children","Distrito de Centro","None","Both","Both","Both","Man","Both","None","None","Paid help","No help","No help","No help","No help","No help","No help","Unpaid help","Both"
"161","Female",48,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both",NA,"Both","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"162","Female",62,"Couple with children","Distrito de Centro","Both","Woman","Man","Man","None",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"163","Female",58,"Couple with children","Distrito de Centro","Both","Both","Both","Both","None",NA,NA,"None","Paid help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"164","Male",75,"Couple with children","Distrito de Centro","None","Woman","Both","Both","Man",NA,"Both","Both","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"165","Female",35,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"166","Male",23,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"167","Female",52,"Couple with children","Distrito de Centro","Both","Both","Both","Both","Both","Both",NA,"Both","Paid help","Paid help","No help","No help","No help","No help","No answer","No help","Both"
"168","Female",49,"Couple with children","Distrito de Centro","Woman","Woman","Woman","Woman","Man","Woman",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Woman"
"169","Male",79,"Other","Distrito de Centro","Woman","Woman","Woman","Woman","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"170","Male",77,"Other","Distrito de Centro","None","Woman","Man","Man","Man",NA,"Both","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
